Produktsortiment,Prozessornummer,Lithographie,Empfohlener Kundenpreis,Anzahl der Kerne,Gesamte Threads,Max. Turbo-Taktfrequenz,Intel® Turbo-Boost-Technik 2.0 Taktfrequenz‡,Grundtaktfrequenz des Prozessors,Cache,Bus-Taktfrequenz,Verlustleistung (TDP),# of Performance-cores,# of Efficiency-cores,Intel® Turbo Boost Max Technology 3.0 Frequency ‡,Single P-core Turbo Frequency,Single E-core Turbo Frequency,P-core Base Frequency,E-core Base Frequency,Total L2 Cache,Processor Base Power,Maximum Turbo Power,Einführungsdatum,Expected Discontinuance,Grundtaktfrequenz der Grafik,Max. dynamische Grafikfrequenz,Max. Videospeicher der Grafik,4K-Unterstützung,Max. Auflösung (HDMI)‡,Max. Auflösung (DP)‡,Max. Auflösung (eDP – integrierter Flachbildschirm)‡,PCI-Express-Konfigurationen ‡,Thermische Spezifikation des Kühlers
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4770,22 nm,,4,8,3.90 GHz,3.90 GHz,3 | 40 GHz,8 MB Intel® Smart Cache,5 GT/s,84 W,,,,,,,,,,,Q2'13,07/14/2017,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4770K,22 nm,,4,8,3.90 GHz,3.90 GHz,3 | 50 GHz,8 MB Intel® Smart Cache,5 GT/s,84 W,,,,,,,,,,,Q2'13,,350 MHz,1.25 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4770S,22 nm,,4,8,3.90 GHz,3.90 GHz,3 | 10 GHz,8 MB Intel® Smart Cache,5 GT/s,65 W,,,,,,,,,,,Q2'13,,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013C
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4770T,22 nm,,4,8,3.70 GHz,3.70 GHz,2 | 50 GHz,8 MB Intel® Smart Cache,5 GT/s,45 W,,,,,,,,,,,Q2'13,07/14/2017,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013B
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4770R,22 nm,,4,8,3.90 GHz,3.90 GHz,3 | 20 GHz,6 MB Intel® Smart Cache,5 GT/s,65 W,,,,,,,,,,,Q2'13,,200 MHz,1.30 GHz,2 GB,,3840x2160@30Hz,3840x2160@60Hz,,Up to 1x16 |  2x8 |  1x8/2x4,
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4771,22 nm,,4,8,3.90 GHz,3.90 GHz,3 | 50 GHz,8 MB Intel® Smart Cache,5 GT/s,84 W,,,,,,,,,,,Q3'13,07/14/2017,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4790,22 nm,,4,8,4.00 GHz,4.00 GHz,3 | 60 GHz,8 MB Intel® Smart Cache,5 GT/s,84 W,,,,,,,,,,,Q2'14,07/14/2017,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4790K,22 nm,,4,8,4.40 GHz,4.40 GHz,4 | 00 GHz,8 MB Intel® Smart Cache,5 GT/s,88 W,,,,,,,,,,,Q2'14,07/14/2017,350 MHz,1.25 GHz,2 GB,,3840x2160@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013D
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4790S,22 nm,,4,8,4.00 GHz,4.00 GHz,3 | 20 GHz,8 MB Intel® Smart Cache,5 GT/s,65 W,,,,,,,,,,,Q2'14,,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013C
Intel® Core™ i7 Prozessoren der vierten Generation,i7-4790T,22 nm,,4,8,3.90 GHz,3.90 GHz,2 | 70 GHz,8 MB Intel® Smart Cache,5 GT/s,45 W,,,,,,,,,,,Q2'14,07/14/2017,350 MHz,1.20 GHz,2 GB,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2013B
